aircraft_id,flight_no,stop_order,facility_id,arrival_time,departure_time,refuel
A01-T2-H02,6,5,A01,2026-08-06 10:18,,0
A01-T2-H02,7,0,A01,,2026-08-06 15:06,0
A01-T2-H02,7,1,F017,2026-08-06 15:48,2026-08-06 15:58,0
A01-T2-H02,7,2,F016,2026-08-06 16:06,2026-08-06 16:16,0
A01-T2-H02,7,3,F024,2026-08-06 16:35,2026-08-06 16:55,1
A01-T2-H02,7,4,F035,2026-08-06 17:11,2026-08-06 17:21,0
A01-T2-H02,7,5,A01,2026-08-06 18:32,,0
A01-T2-H02,8,0,A01,,2026-08-07 07:55,0
A01-T2-H02,8,1,F004,2026-08-07 08:49,2026-08-07 08:59,0
A01-T2-H02,8,2,A01,2026-08-07 09:53,,0
A01-T2-H02,9,0,A01,,2026-08-07 10:23,0
A01-T2-H02,9,1,F028,2026-08-07 11:23,2026-08-07 11:33,0
A01-T2-H02,9,2,F018,2026-08-07 11:51,2026-08-07 12:11,1
A01-T2-H02,9,3,F016,2026-08-07 12:16,2026-08-07 12:26,0
A01-T2-H02,9,4,F005,2026-08-07 12:33,2026-08-07 12:43,0
A01-T2-H02,9,5,A01,2026-08-07 13:35,,0
A01-T2-H02,10,0,A01,,2026-08-07 15:17,0
A01-T2-H02,10,1,F027,2026-08-07 16:10,2026-08-07 16:20,0
A01-T2-H02,10,2,A01,2026-08-07 17:13,,0
A01-T2-H02,11,0,A01,,2026-08-08 07:53,0
A01-T2-H02,11,1,F013,2026-08-08 09:10,2026-08-08 09:20,0
A01-T2-H02,11,2,F006,2026-08-08 09:33,2026-08-08 09:53,1
A01-T2-H02,11,3,A01,2026-08-08 10:58,,0
A01-T2-H02,12,0,A01,,2026-08-09 07:22,0
A01-T2-H02,12,1,F010,2026-08-09 08:21,2026-08-09 08:31,0
A01-T2-H02,12,2,F006,2026-08-09 08:39,2026-08-09 08:59,1
A01-T2-H02,12,3,F002,2026-08-09 09:11,2026-08-09 09:21,0
A01-T2-H02,12,4,F003,2026-08-09 09:36,2026-08-09 09:46,0
A01-T2-H02,12,5,F002,2026-08-09 10:01,2026-08-09 10:11,0
A01-T2-H02,12,6,A01,2026-08-09 11:11,,0
A01-T2-H03,1,0,A01,,2026-08-03 08:48,0
A01-T2-H03,1,1,F005,2026-08-03 09:40,2026-08-03 09:50,0
A01-T2-H03,1,2,A01,2026-08-03 10:42,,0
A01-T2-H03,2,0,A01,,2026-08-03 11:12,0
A01-T2-H03,2,1,F002,2026-08-03 12:12,2026-08-03 12:22,0
A01-T2-H03,2,2,F007,2026-08-03 12:31,2026-08-03 12:41,0
A01-T2-H03,2,3,F006,2026-08-03 12:45,2026-08-03 13:05,1
A01-T2-H03,2,4,F004,2026-08-03 13:16,2026-08-03 13:26,0
A01-T2-H03,2,5,A01,2026-08-03 14:20,,0
A01-T2-H03,3,0,A01,,2026-08-04 08:32,0
A01-T2-H03,3,1,F011,2026-08-04 09:27,2026-08-04 09:47,1
A01-T2-H03,3,2,F008,2026-08-04 09:56,2026-08-04 10:06,0
A01-T2-H03,3,3,F010,2026-08-04 10:12,2026-08-04 10:22,0
A01-T2-H03,3,4,A01,2026-08-04 11:21,,0
A01-T2-H03,4,0,A01,,2026-08-05 07:23,0
A01-T2-H03,4,1,F014,2026-08-05 08:08,2026-08-05 08:18,0
A01-T2-H03,4,2,A01,2026-08-05 09:03,,0
A01-T2-H03,5,0,A01,,2026-08-05 09:41,0
A01-T2-H03,5,1,F030,2026-08-05 10:25,2026-08-05 10:35,0
A01-T2-H03,5,2,F007,2026-08-05 11:11,2026-08-05 11:21,0
A01-T2-H03,5,3,F002,2026-08-05 11:30,2026-08-05 11:40,0
A01-T2-H03,5,4,F006,2026-08-05 11:52,2026-08-05 12:12,1
A01-T2-H03,5,5,A01,2026-08-05 13:17,,0
A01-T2-H03,6,0,A01,,2026-08-06 06:28,0
A01-T2-H03,6,1,F011,2026-08-06 07:23,2026-08-06 07:43,1
A01-T2-H03,6,2,F008,2026-08-06 07:52,2026-08-06 08:02,0
A01-T2-H03,6,3,F003,2026-08-06 08:13,2026-08-06 08:23,0
A01-T2-H03,6,4,F002,2026-08-06 08:38,2026-08-06 08:48,0
A01-T2-H03,6,5,A01,2026-08-06 09:48,,0
A01-T2-H03,7,0,A01,,2026-08-06 10:18,0
A01-T2-H03,7,1,F001,2026-08-06 11:18,2026-08-06 11:28,0
A01-T2-H03,7,2,F018,2026-08-06 11:38,2026-08-06 11:58,1
A01-T2-H03,7,3,A01,2026-08-06 12:52,,0
A01-T2-H03,8,0,A01,,2026-08-07 06:33,0
A01-T2-H03,8,1,F027,2026-08-07 07:26,2026-08-07 07:36,0
A01-T2-H03,8,2,F021,2026-08-07 07:47,2026-08-07 07:57,0
A01-T2-H03,8,3,F024,2026-08-07 08:06,2026-08-07 08:26,1
A01-T2-H03,8,4,F026,2026-08-07 08:43,2026-08-07 08:53,0
A01-T2-H03,8,5,F003,2026-08-07 09:29,2026-08-07 09:39,0
A01-T2-H03,8,6,A01,2026-08-07 10:32,,0
A01-T2-H03,9,0,A01,,2026-08-07 11:02,0
A01-T2-H03,9,1,F016,2026-08-07 11:52,2026-08-07 12:02,0
A01-T2-H03,9,2,F024,2026-08-07 12:21,2026-08-07 12:41,1
A01-T2-H03,9,3,F038,2026-08-07 13:26,2026-08-07 13:46,1
A01-T2-H03,9,4,F041,2026-08-07 13:58,2026-08-07 14:08,0
A01-T2-H03,9,5,A01,2026-08-07 15:32,,0
A01-T2-H03,10,0,A01,,2026-08-08 06:36,0
A01-T2-H03,10,1,F011,2026-08-08 07:31,2026-08-08 07:51,1
A01-T2-H03,10,2,F006,2026-08-08 08:11,2026-08-08 08:21,0
A01-T2-H03,10,3,A01,2026-08-08 09:26,,0
A01-T2-H03,11,0,A01,,2026-08-08 09:56,0
A01-T2-H03,11,1,F030,2026-08-08 10:40,2026-08-08 10:50,0
A01-T2-H03,11,2,F009,2026-08-08 11:01,2026-08-08 11:11,0
A01-T2-H03,11,3,A01,2026-08-08 11:57,,0
A01-T2-H03,12,0,A01,,2026-08-09 06:53,0
A01-T2-H03,12,1,F001,2026-08-09 07:53,2026-08-09 08:03,0
A01-T2-H03,12,2,F012,2026-08-09 08:15,2026-08-09 08:25,0
A01-T2-H03,12,3,F018,2026-08-09 08:31,2026-08-09 08:51,1
A01-T2-H03,12,4,A01,2026-08-09 09:45,,0
A01-T2-H03,13,0,A01,,2026-08-09 10:15,0
A01-T2-H03,13,1,F015,2026-08-09 11:08,2026-08-09 11:18,0
A01-T2-H03,13,2,F017,2026-08-09 11:33,2026-08-09 11:43,0
A01-T2-H03,13,3,A01,2026-08-09 12:25,,0
A01-T3-H01,1,0,A01,,2026-08-03 07:04,0
A01-T3-H01,1,1,F020,2026-08-03 07:58,2026-08-03 08:08,0
A01-T3-H01,1,2,A01,2026-08-03 09:02,,0
A01-T3-H01,2,0,A01,,2026-08-04 08:35,0
A01-T3-H01,2,1,F022,2026-08-04 09:37,2026-08-04 09:47,0
A01-T3-H01,2,2,F001,2026-08-04 09:56,2026-08-04 10:06,0
A01-T3-H01,2,3,F033,2026-08-04 10:12,2026-08-04 10:22,0
A01-T3-H01,2,4,F019,2026-08-04 10:30,2026-08-04 10:40,0
A01-T3-H01,2,5,A01,2026-08-04 11:45,,0
A01-T3-H01,3,0,A01,,2026-08-04 15:42,0
A01-T3-H01,3,1,F025,2026-08-04 16:46,2026-08-04 16:56,0
A01-T3-H01,3,2,A01,2026-08-04 18:00,,0
A01-T3-H01,4,0,A01,,2026-08-05 07:36,0
A01-T3-H01,4,1,F033,2026-08-05 08:48,2026-08-05 08:58,0
A01-T3-H01,4,2,A01,2026-08-05 10:10,,0
A01-T3-H01,5,0,A01,,2026-08-06 08:25,0
A01-T3-H01,5,1,F022,2026-08-06 09:27,2026-08-06 09:37,0
A01-T3-H01,5,2,F006,2026-08-06 10:32,2026-08-06 10:52,1
A01-T3-H01,5,3,F013,2026-08-06 11:07,2026-08-06 11:17,0
A01-T3-H01,5,4,F002,2026-08-06 11:39,2026-08-06 11:49,0
A01-T3-H01,5,5,F015,2026-08-06 12:30,2026-08-06 12:40,0
A01-T3-H01,5,6,A01,2026-08-06 13:41,,0
A01-T3-H01,6,0,A01,,2026-08-07 08:34,0
A01-T3-H01,6,1,F015,2026-08-07 09:35,2026-08-07 09:45,0
A01-T3-H01,6,2,F028,2026-08-07 09:56,2026-08-07 10:06,0
A01-T3-H01,6,3,F001,2026-08-07 10:35,2026-08-07 10:45,0
A01-T3-H01,6,4,F024,2026-08-07 11:01,2026-08-07 11:21,1
A01-T3-H01,6,5,A01,2026-08-07 12:28,,0
A01-T3-H01,7,0,A01,,2026-08-07 12:59,0
A01-T3-H01,7,1,F006,2026-08-07 14:14,2026-08-07 14:24,0
A01-T3-H01,7,2,F003,2026-08-07 14:39,2026-08-07 14:49,0
A01-T3-H01,7,3,A01,2026-08-07 15:50,,0
A01-T3-H01,8,0,A01,,2026-08-08 06:13,0
A01-T3-H01,8,1,F024,2026-08-08 07:20,2026-08-08 07:40,1
A01-T3-H01,8,2,F034,2026-08-08 07:52,2026-08-08 08:02,0
A01-T3-H01,8,3,F012,2026-08-08 08:31,2026-08-08 08:41,0
A01-T3-H01,8,4,F005,2026-08-08 08:47,2026-08-08 08:57,0
A01-T3-H01,8,5,A01,2026-08-08 09:57,,0
A01-T3-H01,9,0,A01,,2026-08-08 10:28,0
A01-T3-H01,9,1,F010,2026-08-08 11:37,2026-08-08 11:47,0
A01-T3-H01,9,2,A01,2026-08-08 12:56,,0
A01-T3-H01,10,0,A01,,2026-08-09 08:19,0
A01-T3-H01,10,1,F014,2026-08-09 09:11,2026-08-09 09:21,0
A01-T3-H01,10,2,F003,2026-08-09 09:44,2026-08-09 09:54,0
A01-T3-H01,10,3,F006,2026-08-09 10:09,2026-08-09 10:29,1
A01-T3-H01,10,4,F007,2026-08-09 10:34,2026-08-09 10:44,0
A01-T3-H01,10,5,F002,2026-08-09 10:54,2026-08-09 11:04,0
A01-T3-H01,10,6,A01,2026-08-09 12:13,,0
A01-T3-H01,11,0,A01,,2026-08-09 12:43,0
A01-T3-H01,11,1,F009,2026-08-09 13:36,2026-08-09 13:46,0
A01-T3-H01,11,2,F014,2026-08-09 13:54,2026-08-09 14:04,0
A01-T3-H01,11,3,F016,2026-08-09 14:20,2026-08-09 14:30,0
A01-T3-H01,11,4,F017,2026-08-09 14:40,2026-08-09 14:50,0
A01-T3-H01,11,5,A01,2026-08-09 15:39,,0
A01-T3-H01,12,0,A01,,2026-08-09 16:09,0
A01-T3-H01,12,1,F002,2026-08-09 17:18,2026-08-09 17:28,0
A01-T3-H01,12,2,A01,2026-08-09 18:37,,0
A01-T3-H02,1,0,A01,,2026-08-03 07:26,0
A01-T3-H02,1,1,F003,2026-08-03 08:27,2026-08-03 08:37,0
A01-T3-H02,1,2,F002,2026-08-03 08:54,2026-08-03 09:04,0
A01-T3-H02,1,3,A01,2026-08-03 10:13,,0
A01-T3-H02,2,0,A01,,2026-08-03 11:17,0
A01-T3-H02,2,1,F001,2026-08-03 12:27,2026-08-03 12:37,0
A01-T3-H02,2,2,F016,2026-08-03 12:50,2026-08-03 13:00,0
A01-T3-H02,2,3,A01,2026-08-03 13:58,,0
A01-T3-H02,3,0,A01,,2026-08-04 06:43,0
A01-T3-H02,3,1,F003,2026-08-04 07:44,2026-08-04 07:54,0
A01-T3-H02,3,2,F004,2026-08-04 08:01,2026-08-04 08:11,0
A01-T3-H02,3,3,F007,2026-08-04 08:23,2026-08-04 08:33,0
A01-T3-H02,3,4,A01,2026-08-04 09:47,,0
A01-T3-H02,4,0,A01,,2026-08-04 10:26,0
A01-T3-H02,4,1,F012,2026-08-04 11:32,2026-08-04 11:42,0
A01-T3-H02,4,2,A01,2026-08-04 12:48,,0
A01-T3-H02,5,0,A01,,2026-08-05 07:13,0
A01-T3-H02,5,1,F010,2026-08-05 08:22,2026-08-05 08:32,0
A01-T3-H02,5,2,F007,2026-08-05 08:44,2026-08-05 08:54,0
A01-T3-H02,5,3,F006,2026-08-05 08:59,2026-08-05 09:19,1
A01-T3-H02,5,4,F007,2026-08-05 09:24,2026-08-05 09:34,0
A01-T3-H02,5,5,A01,2026-08-05 10:48,,0
A01-T3-H02,6,0,A01,,2026-08-06 07:30,0
A01-T3-H02,6,1,F002,2026-08-06 08:39,2026-08-06 08:49,0
A01-T3-H02,6,2,F013,2026-08-06 09:11,2026-08-06 09:21,0
A01-T3-H02,6,3,F011,2026-08-06 09:58,2026-08-06 10:18,1
A01-T3-H02,6,4,F017,2026-08-06 10:44,2026-08-06 10:54,0
A01-T3-H02,6,5,A01,2026-08-06 11:43,,0
A01-T3-H02,7,0,A01,,2026-08-07 07:43,0
A01-T3-H02,7,1,F017,2026-08-07 08:32,2026-08-07 08:42,0
A01-T3-H02,7,2,F014,2026-08-07 08:54,2026-08-07 09:04,0
A01-T3-H02,7,3,A01,2026-08-07 09:56,,0
A01-T3-H02,8,0,A01,,2026-08-08 06:17,0
A01-T3-H02,8,1,F024,2026-08-08 07:24,2026-08-08 07:44,1
A01-T3-H02,8,2,F034,2026-08-08 07:56,2026-08-08 08:06,0
A01-T3-H02,8,3,A01,2026-08-08 09:24,,0
A01-T3-H02,9,0,A01,,2026-08-08 09:54,0
A01-T3-H02,9,1,F009,2026-08-08 10:47,2026-08-08 10:57,0
A01-T3-H02,9,2,F011,2026-08-08 11:09,2026-08-08 11:19,0
A01-T3-H02,9,3,F030,2026-08-08 11:37,2026-08-08 11:47,0
A01-T3-H02,9,4,A01,2026-08-08 12:37,,0
A01-T3-H02,10,0,A01,,2026-08-08 15:11,0
A01-T3-H02,10,1,F030,2026-08-08 16:01,2026-08-08 16:11,0
A01-T3-H02,10,2,F026,2026-08-08 16:30,2026-08-08 16:40,0
A01-T3-H02,10,3,F008,2026-08-08 17:17,2026-08-08 17:27,0
A01-T3-H02,10,4,F006,2026-08-08 17:40,2026-08-08 18:00,1
A01-T3-H02,10,5,F007,2026-08-08 18:05,2026-08-08 18:15,0
A01-T3-H02,10,6,A01,2026-08-08 19:29,,0
A01-T3-H02,11,0,A01,,2026-08-09 08:23,0
A01-T3-H02,11,1,F021,2026-08-09 09:32,2026-08-09 09:42,0
A01-T3-H02,11,2,A01,2026-08-09 10:51,,0
A01-T3-H02,12,0,A01,,2026-08-09 11:21,0
A01-T3-H02,12,1,F016,2026-08-09 12:19,2026-08-09 12:29,0
A01-T3-H02,12,2,F001,2026-08-09 12:42,2026-08-09 12:52,0
A01-T3-H02,12,3,F018,2026-08-09 13:03,2026-08-09 13:23,1
A01-T3-H02,12,4,F015,2026-08-09 13:36,2026-08-09 13:46,0
A01-T3-H02,12,5,A01,2026-08-09 14:47,,0
A02-T1-H01,1,0,A02,,2026-08-06 06:01,0
A02-T1-H01,1,1,F031,2026-08-06 07:00,2026-08-06 07:20,1
A02-T1-H01,1,2,F029,2026-08-06 07:35,2026-08-06 07:45,0
A02-T1-H01,1,3,F034,2026-08-06 07:57,2026-08-06 08:07,0
A02-T1-H01,1,4,F018,2026-08-06 08:27,2026-08-06 08:47,1
A02-T1-H01,1,5,F022,2026-08-06 08:55,2026-08-06 09:05,0
A02-T1-H01,1,6,A02,2026-08-06 09:55,,0
A02-T1-H01,2,0,A02,,2026-08-06 15:14,0
A02-T1-H01,2,1,F024,2026-08-06 16:07,2026-08-06 16:27,1
A02-T1-H01,2,2,F019,2026-08-06 16:35,2026-08-06 16:45,0
A02-T1-H01,2,3,A02,2026-08-06 17:37,,0
A02-T2-H01,1,0,A02,,2026-08-04 08:54,0
A02-T2-H01,1,1,F045,2026-08-04 10:08,2026-08-04 10:18,0
A02-T2-H01,1,2,F038,2026-08-04 10:27,2026-08-04 10:47,1
A02-T2-H01,1,3,F039,2026-08-04 10:59,2026-08-04 11:09,0
A02-T2-H01,1,4,F052,2026-08-04 11:21,2026-08-04 11:31,0
A02-T2-H01,1,5,A02,2026-08-04 12:42,,0
A02-T2-H01,2,0,A02,,2026-08-05 07:06,0
A02-T2-H01,2,1,F033,2026-08-05 08:12,2026-08-05 08:22,0
A02-T2-H01,2,2,F032,2026-08-05 08:54,2026-08-05 09:04,0
A02-T2-H01,2,3,F031,2026-08-05 09:15,2026-08-05 09:35,1
A02-T2-H01,2,4,A02,2026-08-05 10:41,,0
A02-T2-H01,3,0,A02,,2026-08-06 07:04,0
A02-T2-H01,3,1,F020,2026-08-06 07:55,2026-08-06 08:05,0
A02-T2-H01,3,2,A02,2026-08-06 08:56,,0
A02-T2-H01,4,0,A02,,2026-08-07 06:00,0
A02-T2-H01,4,1,F030,2026-08-07 06:50,2026-08-07 07:00,0
A02-T2-H01,4,2,F012,2026-08-07 07:15,2026-08-07 07:25,0
A02-T2-H01,4,3,F015,2026-08-07 07:34,2026-08-07 07:44,0
A02-T2-H01,4,4,F018,2026-08-07 07:56,2026-08-07 08:16,1
A02-T2-H01,4,5,F025,2026-08-07 08:45,2026-08-07 08:55,0
A02-T2-H01,4,6,A02,2026-08-07 09:51,,0
A02-T2-H01,5,0,A02,,2026-08-07 15:23,0
A02-T2-H01,5,1,F023,2026-08-07 16:36,2026-08-07 16:46,0
A02-T2-H01,5,2,F047,2026-08-07 16:57,2026-08-07 17:07,0
A02-T2-H01,5,3,F049,2026-08-07 17:13,2026-08-07 17:23,0
A02-T2-H01,5,4,F031,2026-08-07 17:35,2026-08-07 17:55,1
A02-T2-H01,5,5,F023,2026-08-07 18:02,2026-08-07 18:12,0
A02-T2-H01,5,6,A02,2026-08-07 19:25,,0
A02-T2-H01,6,0,A02,,2026-08-08 09:29,0
A02-T2-H01,6,1,F019,2026-08-08 10:28,2026-08-08 10:38,0
A02-T2-H01,6,2,F027,2026-08-08 10:48,2026-08-08 10:58,0
A02-T2-H01,6,3,F031,2026-08-08 11:20,2026-08-08 11:40,1
A02-T2-H01,6,4,F046,2026-08-08 11:50,2026-08-08 12:00,0
A02-T2-H01,6,5,A02,2026-08-08 13:02,,0
A02-T2-H01,7,0,A02,,2026-08-09 06:00,0
A02-T2-H01,7,1,F031,2026-08-09 07:06,2026-08-09 07:26,1
A02-T2-H01,7,2,F034,2026-08-09 07:51,2026-08-09 08:01,0
A02-T2-H01,7,3,F019,2026-08-09 08:14,2026-08-09 08:24,0
A02-T2-H01,7,4,A02,2026-08-09 09:23,,0
A02-T2-H01,8,0,A02,,2026-08-09 09:53,0
A02-T2-H01,8,1,F020,2026-08-09 10:44,2026-08-09 10:54,0
A02-T2-H01,8,2,F018,2026-08-09 11:04,2026-08-09 11:14,0
A02-T2-H01,8,3,F024,2026-08-09 11:34,2026-08-09 11:54,1
A02-T2-H01,8,4,F036,2026-08-09 12:10,2026-08-09 12:20,0
A02-T2-H01,8,5,F049,2026-08-09 12:36,2026-08-09 12:46,0
A02-T2-H01,8,6,A02,2026-08-09 13:52,,0
A02-T2-H02,1,0,A02,,2026-08-03 09:07,0
A02-T2-H02,1,1,F019,2026-08-03 10:06,2026-08-03 10:16,0
A02-T2-H02,1,2,F033,2026-08-03 10:23,2026-08-03 10:33,0
A02-T2-H02,1,3,F024,2026-08-03 10:44,2026-08-03 11:04,1
A02-T2-H02,1,4,A02,2026-08-03 12:04,,0
A02-T2-H02,2,0,A02,,2026-08-04 06:17,0
A02-T2-H02,2,1,F023,2026-08-04 07:30,2026-08-04 07:40,0
A02-T2-H02,2,2,F024,2026-08-04 08:04,2026-08-04 08:24,1
A02-T2-H02,2,3,F009,2026-08-04 09:03,2026-08-04 09:13,0
A02-T2-H02,2,4,A02,2026-08-04 10:06,,0
A02-T2-H02,3,0,A02,,2026-08-05 09:28,0
A02-T2-H02,3,1,F031,2026-08-05 10:34,2026-08-05 10:54,1
